league,season,team,player,nation,position,age,born_year,90s,passes_attempted,play_passes,fk_passes,free_kicks_passes,through_ball_passes,switches_passes,crosses_passes,throw_ins_passes,corner_kicks_passes,inswinging_corner_kicks,outswinging_corner_kicks,straight_corner_kicks,passes_completed,passes_offside,passes_blocked_by_rival
Premier League,2425,Brentford,Nathan Collins,IRL,DF,24,2001.0,37.0,1936,1851,80,66,3,6,8,11,0,0,0,0,1662,5,8
Premier League,2425,Brentford,Rico Henry,ENG,DF,27,1997.0,1.1,49,39,10,0,0,0,2,10,0,0,0,0,33,0,3
Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,22,2003.0,0.0,7,6,0,0,0,0,0,0,0,0,0,0,4,1,1
Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23,2001.0,27.7,1221,1122,98,17,0,2,7,61,0,0,0,0,1042,1,7
Premier League,2425,Brentford,Thiago,BRA,"FW,MF",23,2001.0,1.8,51,50,1,0,0,0,1,0,0,0,0,0,37,0,0
Premier League,2425,Brentford,Vitaly Janelt,GER,MF,27,1998.0,25.0,1057,1033,18,12,3,6,30,6,0,0,0,0,872,6,16
Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,21,2004.0,15.1,704,696,7,3,4,8,16,4,0,0,0,0,608,1,12
Premier League,2425,Brentford,Yoane Wissa,COD,FW,28,1996.0,31.4,574,538,33,4,5,1,20,2,1,0,0,0,437,3,23
Premier League,2425,Brentford,Yunus Emre Konak,TUR,"FW,MF",19,2006.0,0.5,36,35,1,0,0,0,0,1,0,0,0,0,26,0,1
Premier League,2425,Brighton,Adam Webster,ENG,DF,30,1995.0,8.9,612,543,67,27,0,3,2,0,0,0,0,0,530,2,5
Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22,2002.0,35.0,1284,1135,144,61,0,0,0,0,0,0,0,0,985,5,2
Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001.0,1.1,67,65,2,1,1,2,1,0,1,1,0,0,58,0,0
Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004.0,6.8,226,193,33,6,2,2,23,10,13,6,5,1,167,0,2
Premier League,2425,Brighton,Carlos Baleba,CMR,MF,21,2004.0,28.6,1277,1253,22,9,7,3,9,3,0,0,0,0,1114,2,14
Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34,1990.0,23.5,491,472,18,2,0,0,3,2,0,0,0,0,417,1,13
Premier League,2425,Brighton,Diego Gómez,PAR,MF,22,2003.0,5.2,280,264,16,2,4,2,9,1,3,2,0,0,223,0,9
Premier League,2425,Brighton,Eiran Cashin,IRL,DF,23,2001.0,0.2,28,28,0,0,0,0,1,0,0,0,0,0,23,0,0
Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20,2004.0,2.7,58,52,5,0,0,0,0,0,0,0,0,0,43,1,1
Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25,1999.0,4.3,175,157,17,2,1,0,9,15,0,0,0,0,144,1,1
Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",23,2002.0,18.4,355,344,9,0,12,0,9,0,0,0,0,0,237,2,14
Premier League,2425,Brighton,Harry Howell,ENG,FW,16,2008.0,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
