league,season,team,player,nation,position,age,born_year,90s,goals_against,penalty_allowed,goals_freekicks,goals_cornerkicks,own_goals,xG_post_shoot,xG_post_shoot_over_shoot_on_target,difference_xG_post_shoot_goals_against,difference_xG_post_shoot_goals_against_90s,passes_over_45m_completed,passes_over_45m_attempted,perc_passes_over_45m,passes_attempted,throws_attempted,Passes_Launch%,passes_avg_length,goal_kicks_attempted,perc_goal_kicks,goal_kicks_avg_length,opponent_crosses_attempted,opponent_crosses_stopped,perc_crosses_stopped,defensive_actions_outside_area,defensive_actions_outside_area_90s,avg_distance_goal_defensive_actions
La Liga,2425,Real Madrid,Thibaut Courtois,BEL,GK,33,1992,30.0,29,3,0,6,1,28.7,0.27,0.7,0.02,62,214,29.0,871,173,18.5,28.2,148,35.8,39.1,350,16,4.6,14,0.47,10.7
La Liga,2425,Real Sociedad,Unai Marrero,ESP,GK,23,2001,1.0,1,0,0,0,0,1.1,0.28,0.1,0.13,4,10,40.0,21,5,33.3,31.2,8,37.5,33.5,10,1,10.0,3,3.0,23.0
La Liga,2425,Real Sociedad,Álex Remiro,ESP,GK,30,1995,36.0,43,5,0,5,0,38.0,0.26,-5.0,-0.14,180,477,37.7,1053,111,31.4,32.6,234,62.4,48.9,446,29,6.5,40,1.11,14.4
La Liga,2425,Sevilla,Álvaro Fernández,ESP,GK,27,1998,7.3,12,2,0,1,0,8.4,0.22,-3.6,-0.49,37,138,26.8,254,24,42.1,35.1,38,81.6,54.5,97,5,5.2,14,1.92,17.5
La Liga,2425,Sevilla,Ørjan Nyland,NOR,GK,34,1990,29.7,39,3,3,3,1,37.1,0.31,-0.9,-0.03,118,445,26.5,836,114,42.1,37.2,166,56.0,46.0,408,20,4.9,29,0.98,13.8
La Liga,2425,Valencia,Giorgi Mamardashvili,GEO,GK,24,2000,34.0,48,5,0,4,3,46.0,0.3,1.0,0.03,141,449,31.4,859,134,36.0,34.5,219,63.9,49.6,472,33,7.0,38,1.12,14.3
La Liga,2425,Valencia,Stole Dimitrievski,MKD,GK,31,1993,4.0,6,1,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,113,25,49.6,40.5,20,80.0,53.6,51,3,5.9,16,4.0,25.7
La Liga,2425,Valladolid,André Ferreira,POR,GK,28,1996,6.0,20,3,0,1,0,15.3,0.35,-4.7,-0.79,30,83,36.1,138,26,37.0,33.8,56,57.1,41.7,92,4,4.3,3,0.5,10.4
La Liga,2425,Valladolid,Arnau Rafús,ESP,GK,22,2003,1.0,2,0,1,0,0,0.5,0.23,-1.5,-1.53,7,15,46.7,38,5,34.2,34.9,5,40.0,39.0,14,1,7.1,1,1.0,11.4
La Liga,2425,Valladolid,Karl Jakob Hein,EST,GK,23,2002,30.0,65,4,1,4,1,55.9,0.34,-8.1,-0.27,160,442,36.2,917,134,32.7,34.0,218,65.1,51.9,467,34,7.3,34,1.13,14.1
La Liga,2425,Villarreal,Diego Conde,ESP,GK,26,1998,20.8,31,3,1,6,1,24.1,0.25,-5.9,-0.29,60,159,37.7,509,105,23.4,28.5,96,41.7,37.7,309,18,5.8,14,0.67,11.6
La Liga,2425,Villarreal,Luiz Lúcio Reis Júnior,BRA,GK,24,2001,16.2,18,4,1,0,0,18.1,0.23,0.1,0.0,61,178,34.3,392,96,31.9,31.6,99,53.5,43.6,256,16,6.3,20,1.23,12.2
Ligue 1,2425,Angers,Melvin Zinga,FRA,GK,23,2002,1.0,2,1,0,0,0,2.4,0.41,0.4,0.4,2,11,18.2,22,4,40.9,39.0,11,18.2,25.6,20,1,5.0,2,2.0,16.8
Ligue 1,2425,Angers,Yahia Fofana,CIV,GK,24,2000,33.0,51,3,0,7,0,63.5,0.34,12.5,0.38,144,435,33.1,751,180,38.6,35.8,261,55.6,43.6,531,48,9.0,20,0.61,10.7
Ligue 1,2425,Auxerre,Donovan Léon,GUF,GK,32,1992,32.0,48,5,0,7,3,55.8,0.32,10.8,0.34,213,649,32.8,935,173,53.0,42.0,195,78.5,56.4,518,28,5.4,39,1.22,14.6
Ligue 1,2425,Auxerre,Théo De Percin,MTQ,GK,24,2001,2.0,3,1,0,0,0,3.5,0.22,0.5,0.23,8,31,25.8,46,5,45.7,40.3,12,83.3,55.3,38,3,7.9,3,1.5,13.1
Ligue 1,2425,Brest,Grégoire Coudert,FRA,GK,26,1999,2.0,5,0,0,1,1,2.8,0.22,-1.2,-0.6,6,20,30.0,60,7,28.3,31.4,8,37.5,36.5,30,1,3.3,3,1.5,18.5
Ligue 1,2425,Brest,Marco Bizot,NED,GK,34,1991,32.0,54,8,1,4,1,46.2,0.31,-6.8,-0.21,218,522,41.8,902,134,42.0,36.0,216,66.2,49.2,459,33,7.2,53,1.66,16.2
Ligue 1,2425,Le Havre,Arthur Desmas,FRA,GK,31,1994,18.0,38,2,1,4,0,38.7,0.4,0.7,0.04,56,151,37.1,404,72,28.5,30.9,117,30.8,29.6,277,12,4.3,7,0.39,11.9
Ligue 1,2425,Le Havre,Mathieu Gorgelin,FRA,GK,34,1990,16.0,33,3,0,4,1,34.2,0.4,2.2,0.14,79,183,43.2,435,75,32.9,32.4,99,40.4,34.6,269,21,7.8,8,0.5,10.5
Ligue 1,2425,Lens,Brice Samba,FRA,GK,31,1994,15.0,14,4,2,3,0,17.5,0.26,3.5,0.23,82,163,50.3,435,61,29.7,30.5,76,44.7,36.1,152,17,11.2,22,1.47,16.1
Ligue 1,2425,Lens,Hervé Koffi,BFA,GK,28,1996,5.0,8,2,0,1,0,11.1,0.38,3.1,0.61,14,42,33.3,115,22,29.6,33.2,19,42.1,36.4,53,4,7.5,2,0.4,9.4
Ligue 1,2425,Lens,Mathew Ryan,AUS,GK,33,1992,14.0,17,2,0,0,0,19.5,0.28,2.5,0.18,46,135,34.1,342,79,31.3,32.3,66,42.4,35.3,176,20,11.4,10,0.71,11.6
Ligue 1,2425,Lille,Lucas Chevalier,FRA,GK,23,2001,34.0,36,4,0,6,1,42.2,0.32,7.2,0.21,112,288,38.9,968,144,25.7,29.6,112,34.8,35.7,373,21,5.6,24,0.71,13.9
