league,season,team,player,nation,position,age,born_year,90s,shot_creating_actions,shot_creating_actions_90s,play_passes_to_shot,fk_passes_to_shot,take_ons_to_shot,shot_to_shot,fouls_drawn_to_shot,defensive_actions_to_shot,goal_creating_actions,goal_creating_actions_90s,play_passes_to_goal,fk_passes_to_goal,take_ons_to_goal,shot_to_goal,fouls_drawn_to_goal,defensive_actions_to_goal
Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21,2003.0,21.3,60,2.81,36,12,3,3,4,2,6,0.28,4,2,0,0,0,0
Premier League,2425,Chelsea,Axel Disasi,FRA,DF,27,1998.0,4.0,2,0.49,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,24,2001.0,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27,1997.0,10.2,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0
Premier League,2425,Chelsea,Cole Palmer,ENG,MF,23,2002.0,34.5,200,5.81,132,21,16,21,8,2,15,0.44,11,0,2,1,1,0
Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,24,2001.0,31.7,146,4.6,115,16,2,4,4,5,16,0.5,13,2,0,1,0,0
Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,23,2002.0,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,25,2000.0,18.9,68,3.59,61,0,3,1,3,0,10,0.53,9,0,0,0,1,0
Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,19,2006.0,1.9,2,1.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25,1999.0,4.1,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0
Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",26,1998.0,2.9,5,1.73,5,0,0,0,0,0,1,0.35,1,0,0,0,0,0
Premier League,2425,Chelsea,Levi Colwill,ENG,DF,22,2003.0,34.0,38,1.12,34,2,0,1,0,1,3,0.09,2,0,0,0,0,1
Premier League,2425,Chelsea,Malo Gusto,FRA,DF,22,2003.0,20.5,58,2.82,57,0,0,1,0,0,4,0.19,4,0,0,0,0,0
Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998.0,32.2,50,1.55,44,3,0,2,1,0,5,0.16,4,1,0,0,0,0
Premier League,2425,Chelsea,Marc Guiu,ESP,FW,19,2006.0,0.8,1,1.22,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,19,2006.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",23,2001.0,36.2,96,2.65,84,0,2,0,3,7,9,0.25,6,0,0,0,2,1
Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,24,2001.0,1.7,6,3.6,4,1,0,0,1,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001.0,24.7,69,2.8,42,0,9,7,9,2,10,0.41,7,0,2,1,0,0
Premier League,2425,Chelsea,Noni Madueke,ENG,FW,23,2002.0,21.6,78,3.6,56,0,10,7,4,1,8,0.37,5,0,0,1,1,1
Premier League,2425,Chelsea,Pedro Neto,POR,FW,25,2000.0,24.4,89,3.65,64,9,6,6,4,0,8,0.33,5,1,2,0,0,0
Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",25,1999.0,10.8,18,1.66,11,5,1,1,0,0,3,0.28,1,0,1,1,0,0
Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21,2003.0,2.0,1,0.49,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27,1997.0,31.0,7,0.23,6,1,0,0,0,0,2,0.06,1,1,0,0,0,0
Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,21,2004.0,8.5,14,1.64,13,0,0,0,0,1,2,0.23,2,0,0,0,0,0
Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,17,2007.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
