league,season,team,player,nation,position,age,born_year,90s,yellow_cards,red_cards,second_yellow_card_expulsions,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerial_duels_won,aerial_duels_lost,perc_aerial_duels_won
Premier League,2425,Chelsea,Cole Palmer,ENG,MF,23,2002.0,34.5,7,0,0,14,60,6,139,11,18,1,0,0,105,2,7,22.2
Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,24,2001.0,31.7,8,0,0,51,51,2,108,13,33,0,0,0,153,14,28,33.3
Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,23,2002.0,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,0.0
Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,25,2000.0,18.9,2,0,0,6,11,6,24,2,7,2,0,0,97,6,10,37.5
Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,19,2006.0,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3
Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25,1999.0,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4
Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",26,1998.0,2.9,0,0,0,4,6,0,2,1,5,0,0,0,9,0,1,0.0
Premier League,2425,Chelsea,Levi Colwill,ENG,DF,22,2003.0,34.0,9,0,0,43,21,5,13,32,34,0,1,0,119,79,53,59.8
Premier League,2425,Chelsea,Malo Gusto,FRA,DF,22,2003.0,20.5,4,0,0,20,20,2,52,24,29,0,0,0,117,9,15,37.5
Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998.0,32.2,10,1,1,35,36,3,31,28,42,0,0,0,127,32,56,36.4
Premier League,2425,Chelsea,Marc Guiu,ESP,FW,19,2006.0,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0
Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,19,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",23,2001.0,36.2,10,0,0,68,57,0,10,49,70,2,1,0,223,35,16,68.6
Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,24,2001.0,1.7,0,0,0,2,2,1,7,0,2,0,0,0,9,2,4,33.3
Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001.0,24.7,7,1,0,35,29,23,3,3,13,0,0,0,48,21,36,36.8
Premier League,2425,Chelsea,Noni Madueke,ENG,FW,23,2002.0,21.6,3,0,0,21,24,5,63,9,16,0,0,0,77,11,18,37.9
Premier League,2425,Chelsea,Pedro Neto,POR,FW,25,2000.0,24.4,8,0,0,21,32,3,147,9,9,0,0,0,78,11,28,28.2
